#20        /15000 episodes , avg train score : -7.8, test score: 0.2 n_buffer : 1401
#40        /15000 episodes , avg train score : -11.6, test score: -2.0 n_buffer : 3177
#60        /15000 episodes , avg train score : -2.4, test score: -2.0 n_buffer : 5177
/home/vivianchen/Desktop/workspace/ma_gym_dataset/scripts/maddpg.py:35: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /opt/conda/conda-bld/pytorch_1670525493953/work/torch/csrc/utils/tensor_new.cpp:230.)
  torch.tensor(a_lst, dtype=torch.float), \
#1540      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1560      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1580      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1600      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1620      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1640      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1660      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1680      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1700      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1720      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1740      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1760      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1780      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1800      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1820      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1840      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1860      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1880      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1900      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1920      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1940      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1960      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#1980      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2000      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2020      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2040      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2060      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2080      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2100      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2120      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2140      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2160      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2180      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2200      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2220      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2240      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2260      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2280      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2300      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2320      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2340      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2360      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2380      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2400      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2420      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2440      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2460      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2480      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2500      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2520      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2540      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2560      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2580      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2600      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2620      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2640      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2660      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2680      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2700      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2720      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
